"y","ds"
807.9,2014-01-01
1101.25,2014-02-01
795.076923076923,2014-03-01
720.5625,2014-04-01
1000.36111111111,2014-05-01
746.537037037037,2014-06-01
930.578947368421,2014-07-01
881.529411764706,2014-08-01
1039.53658536585,2014-09-01
1188.08333333333,2014-10-01
1107.29032258065,2014-11-01
917.838709677419,2014-12-01
1316.65517241379,2015-01-01
1255.30303030303,2015-02-01
956.229508196721,2015-03-01
1736.86111111111,2015-04-01
1433.53846153846,2015-05-01
1240.86666666667,2015-06-01
1454.24242424242,2015-07-01
1318.97142857143,2015-08-01
1308.07894736842,2015-09-01
903.957446808511,2015-10-01
967.175,2015-11-01
735.68085106383,2015-12-01
1020.3488372093,2016-01-01
616.181818181818,2016-02-01
596.6,2016-03-01
866.108695652174,2016-04-01
1111.72727272727,2016-05-01
925.820512820513,2016-06-01
1505.33333333333,2016-07-01
1094.59523809524,2016-08-01
1069.85714285714,2016-09-01
1215.28260869565,2016-10-01
990.510204081633,2016-11-01
750.152173913043,2016-12-01
1210.97872340426,2017-01-01
765.717391304348,2017-02-01
382.657142857143,2017-03-01
